County/Equivalent,State
Añasco,AL
Adjuntas,AL
Aguada,AL
Aguadilla,AL
Aguas Buenas,AL
Aibonito,AL
"Alexandria, City of",AL
Arecibo,AK
Arroyo,AK
Bajo Nuevo Bank,AR
Baker Island,AR
Baltimore City,AR
Barceloneta,AR
Barranquitas,AR
Bayamón,AR
"Bristol, City of",CO
"Buena Vista, City of",CT
Cabo Rojo,FL
Caguas,FL
Camuy,FL
Canóvanas,FL
Carolina,GA
Cataño,GA
Cayey,GA
Ceiba,GA
"Charlottesville, City of",GA
"Chesapeake, City of",GA
Ciales,GA
Cidra,GA
Coamo,ID
"Colonial Heights, City of",IL
Comerío,IL
Corozal,IL
"Covington, City of",IL
Culebra,IL
"Danville, City of",IN
Doña Ana,IA
Dorado,IA
Eastern District,IA
"Emporia, City of",KS
"Fairfax, City of",KS
Fajardo,KS
"Falls Church, City of",KS
Florida,KS
"Franklin, City of",KY
"Fredericksburg, City of",KY
"Galax, City of",KY
Guánica,LA
Guam,LA
Guayama,LA
Guayanilla,LA
Guaynabo,LA
Gurabo,LA
"Hampton, City of",MD
"Harrisonburg, City of",MI
Hartford,MI
Hatillo,MI
Hoonah–Angoon,MN
"Hopewell, City of",MN
Hormigueros,MN
Howland Island,MN
Humacao,MN
Isabela,MN
Jarvis Island,MS
Jayuya,MS
Johnston Atoll,MS
Juana Díaz,MO
Juncos,MO
Kauaʻi,MO
Kingman Reef,MO
Lajas,MO
Lares,MT
Las Marías,MT
Las Piedras,MT
"Lexington, City of",NE
Litchfield,NE
Loíza,NE
Luquillo,NH
"Lynchburg, City of",NJ
"Manassas Park, City of",NM
"Manassas, City of",NM
Manatí,NM
Manu'a District,NM
Maricao,NY
"Martinsville, City of",NY
Maunabo,NY
Mayagüez,NY
Midway Islands,NC
Moca,ND
Morovis,OH
Naguabo,OH
Naranjito,OH
Navassa Island,OH
New Haven,OH
New London,OH
"Newport News, City of",OH
"Norfolk, City of",OK
Northern Islands,OK
"Norton, City of",OK
Orocovis,OK
Palmyra Atoll,OR
Patillas,PA
Peñuelas,PA
"Petersburg, City of",PA
Ponce,PR
"Poquoson, City of",PR
"Portsmouth, City of",PR
Prince of Wales – Hyder,SC
Quebradillas,SC
"Radford, City of",SC
Río Grande,SD
"Richmond, City of",SD
Rincón,SD
"Roanoke, City of",SD
Rose Atoll (Rose Island),TN
Rota,TN
Sabana Grande,TN
Saint Croix Island,TN
Saint John Island,TN
Saint Thomas Island,TN
Saipan,TN
"Salem, City of",TN
Salinas,TN
San Germán,TN
San Lorenzo,TN
San Sebastián,TN
Santa Isabel,TX
Serranilla Bank,TX
"St. Louis, City of",TX
"Staunton, City of",TX
"Suffolk, City of",TX
Swains Island,TX
Tinian,UT
Toa Alta,UT
Toa Baja,UT
Tolland,UT
Trujillo Alto,VI
Utuado,VA
Vega Alta,VA
Vega Baja,VA
Vieques,VA
Villalba,VA
"Virginia Beach, City of",VA
Wake Island,VA
"Waynesboro, City of",WV
Western District,WV
"Williamsburg, City of",WI
"Winchester, City of",WI
Yabucoa,WI
Yauco,WY
Yukon–Koyukuk,WY
